Entity,Code,Year,Hydro
Central America (EI),,2019,13.0647955
Central America (EI),,2020,18.745556
Central America (EI),,2021,18.517376
Central America (EI),,2022,18.816591
Central America (EI),,2023,14.688484
Central America (EI),,2024,16.068922
Chile,CHL,1965,15.313281
Chile,CHL,1966,15.050102
Chile,CHL,1967,15.070875
Chile,CHL,1968,12.660158
Chile,CHL,1969,13.263416
Chile,CHL,1970,13.4468
Chile,CHL,1971,13.879787
Chile,CHL,1972,16.255701
Chile,CHL,1973,16.405273
Chile,CHL,1974,18.650658
Chile,CHL,1975,20.71017
Chile,CHL,1976,20.601618
Chile,CHL,1977,20.787756
Chile,CHL,1978,20.808039
Chile,CHL,1979,20.23652
Chile,CHL,1980,20.712513
Chile,CHL,1981,21.334347
Chile,CHL,1982,25.00504
Chile,CHL,1983,25.97427
Chile,CHL,1984,25.962746
Chile,CHL,1985,28.49784
Chile,CHL,1986,29.333393
Chile,CHL,1987,30.310171
Chile,CHL,1988,26.538498
Chile,CHL,1989,20.071161
Chile,CHL,1990,16.126705
Chile,CHL,1991,21.147429
Chile,CHL,1992,24.335981
Chile,CHL,1993,23.673262
Chile,CHL,1994,22.222343
Chile,CHL,1995,22.35454
Chile,CHL,1996,19.311874
Chile,CHL,1997,18.958916
Chile,CHL,1998,15.893547
Chile,CHL,1999,12.978624
Chile,CHL,2000,17.442047
Chile,CHL,2001,19.354856
Chile,CHL,2002,20.069672
Chile,CHL,2003,19.342432
Chile,CHL,2004,16.686344
Chile,CHL,2005,19.49157
Chile,CHL,2006,20.683413
Chile,CHL,2007,16.258173
Chile,CHL,2008,17.546606
Chile,CHL,2009,18.887516
Chile,CHL,2010,15.743301
Chile,CHL,2011,13.912535
Chile,CHL,2012,13.024918
Chile,CHL,2013,12.422148
Chile,CHL,2014,14.475407
Chile,CHL,2015,14.604045
Chile,CHL,2016,11.521964
Chile,CHL,2017,11.974445
Chile,CHL,2018,12.561626
Chile,CHL,2019,11.331682
Chile,CHL,2020,12.281963
Chile,CHL,2021,9.449991
Chile,CHL,2022,10.085842
Chile,CHL,2023,11.660004
Chile,CHL,2024,12.669739
China,CHN,1965,4.0059514
China,CHN,1966,3.7507756
China,CHN,1967,3.5952997
China,CHN,1968,4.1999865
China,CHN,1969,3.5094266
China,CHN,1970,2.8323588
China,CHN,1971,2.889697
China,CHN,1972,3.0379276
China,CHN,1973,3.2165847
China,CHN,1974,3.5301428
China,CHN,1975,3.298475
China,CHN,1976,3.1746593
China,CHN,1977,3.038981
China,CHN,1978,2.5965657
China,CHN,1979,2.831705
China,CHN,1980,3.3573203
China,CHN,1981,3.82948
China,CHN,1982,4.164475
China,CHN,1983,4.544442
China,CHN,1984,4.253431
China,CHN,1985,4.183891
China,CHN,1986,4.086331
China,CHN,1987,4.0079727
China,CHN,1988,4.0717363
China,CHN,1989,4.2086334
China,CHN,1990,4.447784
China,CHN,1991,4.1653223
China,CHN,1992,4.148625
China,CHN,1993,4.4727535
China,CHN,1994,4.642511
China,CHN,1995,5.1309986
China,CHN,1996,4.802238
China,CHN,1997,4.973873
China,CHN,1998,5.039018
China,CHN,1999,4.8111777
China,CHN,2000,5.253813
China,CHN,2001,6.170461
China,CHN,2002,5.8324366
China,CHN,2003,4.902707
China,CHN,2004,5.1943474
China,CHN,2005,5.093356
China,CHN,2006,5.0728574
China,CHN,2007,5.1700063
China,CHN,2008,6.487921
China,CHN,2009,5.974596
China,CHN,2010,6.406019
China,CHN,2011,5.712893
China,CHN,2012,6.8511333
China,CHN,2013,6.9100795
China,CHN,2014,7.8124986
China,CHN,2015,8.082995
China,CHN,2016,8.273969
China,CHN,2017,8.007379
China,CHN,2018,7.824891
China,CHN,2019,7.90293
China,CHN,2020,7.9318166
China,CHN,2021,7.3666177
China,CHN,2022,7.2304173
China,CHN,2023,6.415735
China,CHN,2024,6.8136644
Colombia,COL,1965,10.144765
Colombia,COL,1966,10.013327
Colombia,COL,1967,10.595203
Colombia,COL,1968,11.377842
Colombia,COL,1969,12.50371
Colombia,COL,1970,12.703735
Colombia,COL,1971,13.634856
Colombia,COL,1972,13.095796
Colombia,COL,1973,14.751718
Colombia,COL,1974,14.975293
Colombia,COL,1975,17.568567
Colombia,COL,1976,17.708673
Colombia,COL,1977,17.514158
Colombia,COL,1978,19.27007
Colombia,COL,1979,20.355833
Colombia,COL,1980,21.331308
Colombia,COL,1981,20.760118
Colombia,COL,1982,21.564455
Colombia,COL,1983,20.6346
Colombia,COL,1984,22.74919
Colombia,COL,1985,23.700665
Colombia,COL,1986,26.206253
Colombia,COL,1987,26.135183
Colombia,COL,1988,27.610481
Colombia,COL,1989,28.650051
Colombia,COL,1990,30.85516
Colombia,COL,1991,30.2999
Colombia,COL,1992,23.399933
Colombia,COL,1993,26.945501
Colombia,COL,1994,28.669317
Colombia,COL,1995,27.94675
Colombia,COL,1996,29.681656
Colombia,COL,1997,25.983229
Colombia,COL,1998,25.07697
Colombia,COL,1999,29.549135
Colombia,COL,2000,27.735388
Colombia,COL,2001,28.071815
Colombia,COL,2002,29.94132
Colombia,COL,2003,31.14612
Colombia,COL,2004,31.202225
Colombia,COL,2005,32.20451
Colombia,COL,2006,30.052778
Colombia,COL,2007,30.578657
Colombia,COL,2008,30.409729
Colombia,COL,2009,27.009354
Colombia,COL,2010,25.29371
Colombia,COL,2011,28.804108
Colombia,COL,2012,26.43003
Colombia,COL,2013,23.76161
Colombia,COL,2014,22.62937
Colombia,COL,2015,22.757568
Colombia,COL,2016,21.730045
